amplitude [Vpp],frequency [Hz],reflection/transmission
0.16055555555555556,1592666.6666666667,0.9483994067556532
0.16055555555555556,1593333.3333333333,0.9414915415114579
0.16055555555555556,1594000.0,0.9478756838551972
0.16055555555555556,1594666.6666666667,0.9415693759639412
0.16055555555555556,1595333.3333333333,0.9475946067431461
0.16055555555555556,1596000.0,0.9298211134409043
0.16055555555555556,1596666.6666666667,0.929696360915483
0.16055555555555556,1597333.3333333333,0.9239615844709167
0.16055555555555556,1598000.0,0.9175856810020887
0.16055555555555556,1598666.6666666667,0.9245960043827774
0.16055555555555556,1599333.3333333333,0.9244325152183063
0.16055555555555556,1600000.0,0.9173797542434168
0.16055555555555556,1600666.6666666667,0.8948125149283283
0.16055555555555556,1601333.3333333333,0.8929439841037354
0.16055555555555556,1602000.0,0.8993469858113461
0.16055555555555556,1602666.6666666667,0.8813190069429755
0.16055555555555556,1603333.3333333333,0.8645549882682146
0.16055555555555556,1604000.0,0.8631730590033174
0.16055555555555556,1604666.6666666667,0.8388146569390933
0.16055555555555556,1605333.3333333333,0.8100256168741633
0.16055555555555556,1606000.0,0.795664093466145
0.16055555555555556,1606666.6666666667,0.7646439293601931
0.16055555555555556,1607333.3333333333,0.7291506562970704
0.16055555555555556,1608000.0,0.6808821300334216
0.16055555555555556,1608666.6666666667,0.6219824162275068
0.16055555555555556,1609333.3333333333,0.5524133710060114
0.16055555555555556,1610000.0,0.47077242689518983
0.16055555555555556,1610666.6666666667,0.37313425331492256
0.16055555555555556,1611333.3333333333,0.2650109563203938
0.16055555555555556,1612000.0,0.18661299770988032
0.16055555555555556,1612666.6666666667,0.1778220600250128
0.16055555555555556,1613333.3333333333,0.26295632162669497
0.16055555555555556,1614000.0,0.35717404572595896
0.16055555555555556,1614666.6666666667,0.4525292540517644
0.16055555555555556,1615333.3333333333,0.5412953489075403
0.16055555555555556,1616000.0,0.6030885386767473
0.16055555555555556,1616666.6666666667,0.660078863306831
0.16055555555555556,1617333.3333333333,0.705178115316556
0.16055555555555556,1618000.0,0.7431198945903488
0.16055555555555556,1618666.6666666667,0.7647842874239708
0.16055555555555556,1619333.3333333333,0.7907088908234592
0.16055555555555556,1620000.0,0.8146008699170105
0.16055555555555556,1620666.6666666667,0.838857634725937
0.16055555555555556,1621333.3333333333,0.8457982366382214
0.16055555555555556,1622000.0,0.8804464127295843
0.16055555555555556,1622666.6666666667,0.8755608348888513
0.16055555555555556,1623333.3333333333,0.8933282782223771
0.16055555555555556,1624000.0,0.8836433320740094
0.16055555555555556,1624666.6666666667,0.899566805026972
0.16055555555555556,1625333.3333333333,0.905715477834887
0.16055555555555556,1626000.0,0.91171712825728
0.16055555555555556,1626666.6666666667,0.9182987983901181
0.16055555555555556,1627333.3333333333,0.912912240748591
0.16055555555555556,1628000.0,0.9247665940514829
0.16055555555555556,1628666.6666666667,0.9295734684777359
0.16055555555555556,1629333.3333333333,0.941395741885451
0.16055555555555556,1630000.0,0.9395768796676511
0.16055555555555556,1630666.6666666667,0.9477397723897586
0.16055555555555556,1631333.3333333333,0.9485111639320843
0.16055555555555556,1632000.0,0.9542646035529745
0.16055555555555556,1632666.6666666667,0.9543819540130297
0.16055555555555556,1633333.3333333333,0.9489535828144658
0.16055555555555556,1634000.0,0.9481468395938333
0.16055555555555556,1634666.6666666667,0.9540104431979987
0.16055555555555556,1635333.3333333333,0.9602049778471549
0.16055555555555556,1636000.0,0.9603230418845972
0.16055555555555556,1636666.6666666667,0.958977224907158
0.16055555555555556,1637333.3333333333,0.9732946528639476
0.16055555555555556,1638000.0,0.9599984356201836
0.16055555555555556,1638666.6666666667,0.9546219599810376
0.16055555555555556,1639333.3333333333,0.9594991674009844
0.16055555555555556,1640000.0,0.9658962895654617
0.16055555555555556,1640666.6666666667,0.966442475875041
0.16055555555555556,1641333.3333333333,0.966559496314874
0.16055555555555556,1642000.0,0.9657380464347349
0.16055555555555556,1642666.6666666667,0.9661453802922906
0.16055555555555556,1643333.3333333333,0.9658396382802765
0.16055555555555556,1644000.0,0.9714270188468006
0.16055555555555556,1644666.6666666667,0.9610492153548662
0.16055555555555556,1645333.3333333333,0.9660150059498647
0.16055555555555556,1646000.0,0.9726818338929489
0.16055555555555556,1646666.6666666667,0.9786972069342852
0.16055555555555556,1647333.3333333333,0.9722995163683547
0.16055555555555556,1648000.0,0.9550544256715883
0.16055555555555556,1648666.6666666667,0.9607860799378464
0.16055555555555556,1649333.3333333333,0.966074200291438
0.16055555555555556,1650000.0,0.9666304278187946
0.2711111111111111,1550000.0,0.9730636971168457
0.2711111111111111,1550666.6666666667,0.9658554305733474
0.2711111111111111,1551333.3333333333,0.9592813032997214
0.2711111111111111,1552000.0,0.9805413381288332
0.2711111111111111,1552666.6666666667,0.9731484156237037
0.2711111111111111,1553333.3333333333,0.9760578418634273
0.2711111111111111,1554000.0,0.9735723608235447
0.2711111111111111,1554666.6666666667,0.973362822605749
0.2711111111111111,1555333.3333333333,0.966221592287022
0.2711111111111111,1556000.0,0.9730836135020223
0.2711111111111111,1556666.6666666667,0.9659345966776454
0.2711111111111111,1557333.3333333333,0.9654657248632771
0.2711111111111111,1558000.0,0.9662908973576332
0.2711111111111111,1558666.6666666667,0.973282615750187
0.2711111111111111,1559333.3333333333,0.9728543829688063
0.2711111111111111,1560000.0,0.9696118844781405
0.2711111111111111,1560666.6666666667,0.9663701153277595
0.2711111111111111,1561333.3333333333,0.9661522971572027
0.2711111111111111,1562000.0,0.972939086018237
0.2711111111111111,1562666.6666666667,0.9816565523799389
0.2711111111111111,1563333.3333333333,0.9660296246728621
0.2711111111111111,1564000.0,0.9731534007597912
0.2711111111111111,1564666.6666666667,0.9588046789747338
