amplitude [Vpp],frequency [Hz],reflection/transmission
0.16055555555555556,1616000.0,0.9283859468900542
0.16055555555555556,1616666.6666666667,0.9136749878571467
0.16055555555555556,1617333.3333333333,0.93375575682104
0.16055555555555556,1618000.0,0.9550299935149156
0.16055555555555556,1618666.6666666667,0.9463650271043266
0.16055555555555556,1619333.3333333333,0.9523928298247364
0.16055555555555556,1620000.0,0.9379626354334525
0.16055555555555556,1620666.6666666667,0.9523928298247364
0.16055555555555556,1621333.3333333333,0.9584206325451461
0.16055555555555556,1622000.0,0.9795179420665802
0.16055555555555556,1622666.6666666667,0.9734655720084546
0.16055555555555556,1623333.3333333333,0.9795879969896398
0.16055555555555556,1624000.0,0.9584891785929399
0.16055555555555556,1624666.6666666667,0.9795879969896398
0.16055555555555556,1625333.3333333333,0.9580681100136353
0.16055555555555556,1626000.0,0.9795879969896398
0.16055555555555556,1626666.6666666667,0.9705456462481972
0.16055555555555556,1627333.3333333333,0.9857104219708251
0.16055555555555556,1628000.0,0.9795879969896398
0.16055555555555556,1628666.6666666667,0.9791576596051303
0.16055555555555556,1629333.3333333333,0.9705456462481972
0.16055555555555556,1630000.0,0.9913971303501946
0.16055555555555556,1630666.6666666667,0.9554205042207639
0.16055555555555556,1631333.3333333333,0.9701192812087756
0.16055555555555556,1632000.0,0.9761448668063455
0.16055555555555556,1632666.6666666667,0.9761448668063453
0.16055555555555556,1633333.3333333333,0.9761448668063453
0.16055555555555556,1634000.0,0.9918328469520102
0.16055555555555556,1634666.6666666667,0.9761448668063453
0.16055555555555556,1635333.3333333333,0.9821704524039154
0.16055555555555556,1636000.0,0.9761448668063455
0.16055555555555556,1636666.6666666667,0.9975168657227266
0.16055555555555556,1637333.3333333333,0.9979552719331956
0.16055555555555556,1638000.0,0.9761448668063453
0.16055555555555556,1638666.6666666667,0.9852773949776625
0.16055555555555556,1639333.3333333333,0.9918328469520102
0.16055555555555556,1640000.0,0.9821704524039154
0.16055555555555556,1640666.6666666667,0.9975168657227266
0.16055555555555556,1641333.3333333333,0.9822005683224879
0.16055555555555556,1642000.0,0.9701192812087756
0.16055555555555556,1642666.6666666667,0.9975168657227266
0.16055555555555556,1643333.3333333333,0.9975474522025267
0.16055555555555556,1644000.0,0.9826021139034541
0.16055555555555556,1644666.6666666667,0.9913971303501946
0.16055555555555556,1645333.3333333333,0.9975168657227266
0.16055555555555556,1646000.0,0.9821704524039154
0.16055555555555556,1646666.6666666667,0.9975474522025267
0.16055555555555556,1647333.3333333333,0.9975168657227266
0.16055555555555556,1648000.0,0.9975168657227266
0.16055555555555556,1648666.6666666667,0.9761747979646811
0.16055555555555556,1649333.3333333333,0.9821704524039154
0.16055555555555556,1650000.0,0.9881960380014854
0.2711111111111111,1550000.0,0.9862090397390073
0.2711111111111111,1550666.6666666667,0.9789575026821029
0.2711111111111111,1551333.3333333333,0.9862090397390073
0.2711111111111111,1552000.0,0.9777556246298933
0.2711111111111111,1552666.6666666667,0.9868089174505403
0.2711111111111111,1553333.3333333333,0.9699762411896066
0.2711111111111111,1554000.0,0.9862191217173523
0.2711111111111111,1554666.6666666667,0.9789575026821029
0.2711111111111111,1555333.3333333333,0.9771612503836036
0.2711111111111111,1556000.0,0.9862090397390073
0.2711111111111111,1556666.6666666667,0.9771612503836036
0.2711111111111111,1557333.3333333333,0.9789575026821029
0.2711111111111111,1558000.0,0.9789575026821029
